promotion_id,dimension,raw_tag,canonical_tag,governance_action,governance_reasons,support,top_processes,top_effects,top_context_tags,regeneration_context_hash,regenerated_tag,grammar_valid,changed_from_raw,proposed_action,promotion_label,promotion_notes,labeler_1,labeler_2,adjudicated_label,final_label,final_source,label_state
r203-0029,llm,releasecheck,releasecheck,regenerate_candidate,generic_or_noisy_tag;long_tail,7,,,explain=132; research=64; refactor=45,b5da298ce1d4f7fe,releasecheck,True,False,review_keep_raw,,,unclear,unclear,,unclear,consensus,final
r203-0030,llm,bpfanalyze,bpfanalyze,regenerate_candidate,generic_or_noisy_tag;long_tail,6,,,explore=177100,3ebc64043b07d1f6,analyze,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0031,llm,prompt,prompt,regenerate_candidate,generic_or_noisy_tag;long_tail,5,,,design=28; validate=28; review=24; test=18; network=7,7512bb7213ad297f,estimate,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0032,llm,refsccodex,refsccodex,regenerate_candidate,generic_or_noisy_tag;long_tail,5,,,rootpidrefs=580,9b7cee0c64120ccf,refer,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0033,llm,checker,checker,regenerate_candidate,generic_or_noisy_tag;long_tail,4,,,design=111; analyze=48; research=37,b4b6a5465313fb79,analyze,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0034,llm,syncsync,syncsync,regenerate_candidate,generic_or_noisy_tag;long_tail,4,,,design=44; review=37; designfix=18; refactor=12,9380c86dcf5d06cb,sync,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0035,prompt,agentsightr,agentsightr,regenerate_candidate,generic_or_noisy_tag;long_tail,4,printf=4,process=4,agentsight=3; agentsightr=3,4a3146e7cbce2b0f,agentsightr,True,False,review_keep_raw,,,unclear,unclear,,unclear,consensus,final
r203-0036,session,agentsight,agentsight,regenerate_candidate,generic_or_noisy_tag;long_tail,4,printf=4,process=4,agentsight=2; agentsightr=2,5961d15fa71b658b,observe,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0037,llm,claude,claude,regenerate_candidate,generic_or_noisy_tag;long_tail,3,,,test=34940; tokencount=51,727fb2c61795607b,answer,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0038,llm,healthcheck,healthcheck,regenerate_candidate,generic_or_noisy_tag;long_tail,3,,,design=51; build=41; analyze=25,5bf81692206cfb69,healthcheck,True,False,review_keep_raw,,,unclear,unclear,,unclear,consensus,final
r203-0039,llm,syncdoc,syncdoc,regenerate_candidate,generic_or_noisy_tag;long_tail,3,,,refactor=30; explain=25; checkpoint=22,34e82449498d09a4,syncdoc,True,False,review_keep_raw,,,unclear,unclear,,unclear,consensus,final
r203-0040,prompt,apiupdate,apiupdate,regenerate_candidate,generic_or_noisy_tag;long_tail,3,,,design=3,a0d5b1eec48cd71b,apiupdate,True,False,review_keep_raw,,,unclear,unclear,,unclear,consensus,final
r203-0041,prompt,claude,claude,regenerate_candidate,generic_or_noisy_tag;long_tail,3,find=1; rg=1; sed=1,read=3,review=4,dc2d8ff026238267,review,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
