project,operation,failed_calls,share_all_calls,same_operation_retry_within_2_calls,retry_rate,same_operation_retry_succeeded,same_operation_retry_success_rate,exact_invocation_retry_within_2_calls,exact_invocation_retry_rate,exact_invocation_retry_succeeded,exact_invocation_retry_success_rate,same_target_retry_within_2_calls,same_target_retry_succeeded,same_target_retry_success_rate,same_error_signature_failed_exact_retries,failed_tool_runtime_ms,failed_result_bytes,conditional_failure_roundtrips_avoidable_upper,note
agentskill-observability-paper,read,2,0.000011,2,1.000000,2,1.000000,0,0.000000,0,0.000000,0,0,0.000000,0,61,256,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentskill-observability-paper,search,1,0.000006,1,1.000000,1,1.000000,0,0.000000,0,0.000000,1,1,1.000000,0,48,93,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentskill-observability-paper,shell,5,0.000028,1,0.200000,0,0.000000,0,0.000000,0,0.000000,3,2,0.666667,0,124099,26878,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentskill-observability-paper,web,10,0.000055,8,0.800000,3,0.375000,0,0.000000,0,0.000000,0,0,0.000000,0,54804,5964,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
all,control,3,0.000017,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0,26461580,511,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
all,delegate,17,0.000094,3,0.176471,3,1.000000,0,0.000000,0,0.000000,2,2,1.000000,0,961066,16211,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
all,mutate,612,0.003386,357,0.583333,261,0.731092,64,0.104575,53,0.828125,401,345,0.860349,9,701556,580559,64,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
all,navigate,113,0.000625,27,0.238938,25,0.925926,1,0.008850,1,1.000000,40,32,0.800000,0,27959,407919,1,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
all,other,10,0.000055,3,0.300000,0,0.000000,3,0.300000,0,0.000000,0,0,0.000000,0,69,2727,3,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
all,read,618,0.003419,410,0.663430,329,0.802439,5,0.008091,3,0.600000,179,148,0.826816,2,1261854,8203133,5,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
all,search,1064,0.005886,390,0.366541,327,0.838462,0,0.000000,0,0.000000,434,384,0.884793,0,1036662,8364125,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
all,shell,1376,0.007612,832,0.604651,627,0.753606,17,0.012355,12,0.705882,541,410,0.757856,2,6147765,48393543,17,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
all,validate,589,0.003258,313,0.531409,223,0.712460,30,0.050934,20,0.666667,130,106,0.815385,0,1750406,2108819,30,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
all,vcs,186,0.001029,93,0.500000,70,0.752688,0,0.000000,0,0.000000,85,57,0.670588,0,62638,1321872,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
all,wait,435,0.002406,84,0.193103,67,0.797619,6,0.013793,6,1.000000,0,0,0.000000,0,4780755,2427279,6,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
all,web,443,0.002451,387,0.873589,85,0.219638,0,0.000000,0,0.000000,65,3,0.046154,0,3488651,420625,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
bpf-developer-tutorial,mutate,16,0.000089,13,0.812500,2,0.153846,1,0.062500,1,1.000000,11,5,0.454545,0,322,41595,1,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
bpf-developer-tutorial,read,48,0.000266,35,0.729167,14,0.400000,0,0.000000,0,0.000000,6,5,0.833333,0,5330,662539,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
bpf-developer-tutorial,search,11,0.000061,5,0.454545,4,0.800000,0,0.000000,0,0.000000,4,4,1.000000,0,1389,1732,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
bpf-developer-tutorial,shell,25,0.000138,12,0.480000,7,0.583333,1,0.040000,1,1.000000,10,6,0.600000,0,4341,18195,1,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
bpf-developer-tutorial,vcs,4,0.000022,1,0.250000,0,0.000000,0,0.000000,0,0.000000,4,1,0.250000,0,60,1736,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
bpf-developer-tutorial,wait,4,0.000022,2,0.500000,2,1.000000,0,0.000000,0,0.000000,0,0,0.000000,0,25921,43445,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
eunomia.dev,delegate,3,0.000017,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0,5411,561,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
eunomia.dev,mutate,36,0.000199,22,0.611111,18,0.818182,2,0.055556,2,1.000000,24,21,0.875000,0,275639,19706,2,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
eunomia.dev,navigate,2,0.000011,1,0.500000,1,1.000000,0,0.000000,0,0.000000,0,0,0.000000,0,262,809,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
eunomia.dev,read,53,0.000293,34,0.641509,29,0.852941,1,0.018868,0,0.000000,10,8,0.800000,1,1012067,541067,1,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
eunomia.dev,search,67,0.000371,26,0.388060,24,0.923077,0,0.000000,0,0.000000,28,26,0.928571,0,447523,561389,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
eunomia.dev,shell,94,0.000520,61,0.648936,43,0.704918,2,0.021277,1,0.500000,45,36,0.800000,0,260291,383762,2,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
eunomia.dev,validate,20,0.000111,10,0.500000,4,0.400000,0,0.000000,0,0.000000,9,6,0.666667,0,23638,81932,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
eunomia.dev,vcs,22,0.000122,15,0.681818,14,0.933333,0,0.000000,0,0.000000,12,10,0.833333,0,5536,91810,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
eunomia.dev,wait,76,0.000420,22,0.289474,19,0.863636,0,0.000000,0,0.000000,0,0,0.000000,0,184984,362009,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
eunomia.dev,web,273,0.001510,251,0.919414,39,0.155378,0,0.000000,0,0.000000,50,2,0.040000,0,1762311,299468,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
