fragment_index,fragment_hash,kind,source,candidate_tag,candidate_model,candidate_exact_stable,candidate_distinct_tags,labeler_1,labeler_2,adjudicated_label,final_label,final_source,label_state
72,6ec298e78f2cea82,session,codex,review,3b,true,1,adequate,adequate,,adequate,consensus,final
73,b170bc672952123d,session,codex-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
74,3f9c59287ef8d412,session,claude-subagent,test,3b,true,1,adequate,adequate,,adequate,consensus,final
75,e7667f52c00a3e84,session,claude-subagent,verify,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
76,6441a585cc8e4cd2,session,claude-subagent,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
77,62998357999f8ac7,session,claude-subagent,design,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
78,74cdf253241d9494,session,claude-subagent,verify,3b,true,1,adequate,adequate,,adequate,consensus,final
79,1021035905f8120c,session,claude-subagent,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
80,bf864d66658d49a7,session,claude-subagent,test,3b,true,1,adequate,adequate,,adequate,consensus,final
81,4b35ae8fcc9fede3,session,claude-subagent,verify,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
82,d21e3fed215e43b6,session,claude-subagent,review,3b,false,2,adequate,adequate,,adequate,consensus,final
83,d9b57b4ae66fad01,session,claude-subagent,refactor,3b,false,2,generic_noisy,generic_noisy,,generic_noisy,consensus,final
84,257d26ab2268c318,session,claude,bash,3b,true,1,adequate,adequate,,adequate,consensus,final
85,53381d16b9e42e3d,session,claude,bash,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
86,b5bc438454459734,session,claude,bashtoolrun,3b,true,1,adequate,adequate,,adequate,consensus,final
87,a80def95e23b9b96,session,claude,test,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
88,c4fa3741bf653dc6,session,claude,testrun,3b,true,1,adequate,adequate,,adequate,consensus,final
89,db90d46b29e3f796,session,claude,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
90,d43e90e6ebb82515,session,codex,review,3b,true,1,adequate,adequate,,adequate,consensus,final
91,6010fcc718de98b1,session,codex,design,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
92,fb3567d47a3a3c7d,session,codex,review,3b,true,1,adequate,adequate,,adequate,consensus,final
93,f79b3647887c75bf,session,codex-subagent,goemarket,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
94,e0334c6880e2b206,session,codex-subagent,userscenarii,3b,true,1,adequate,adequate,,adequate,consensus,final
95,423f9cbcaea90d50,session,codex,docs,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
96,7bfdde3f516fb041,session,claude,plan,3b,true,1,adequate,adequate,,adequate,consensus,final
97,54bf9716cc706cc1,session,claude,testreply,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
98,f24d4e58c6225392,session,claude,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
99,9a3eded41794c5da,session,codex,license,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
100,0e93fd5bf219af4c,prompt,codex-subagent,review,3b,true,1,adequate,adequate,,adequate,consensus,final
101,a5531085227a39e2,prompt,codex-subagent,audit,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
102,4802e502219eef4c,prompt,codex,bench,3b,true,1,adequate,adequate,,adequate,consensus,final
103,956d3d74db04a839,prompt,codex,count,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
104,887606c2fdb15cc3,prompt,codex-subagent,review,3b,true,1,adequate,adequate,,adequate,consensus,final
105,8a734cf250584efa,prompt,codex-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
106,119e2d80576fa95b,prompt,codex,analyze,3b,true,1,adequate,adequate,,adequate,consensus,final
107,7ce5064c3dba6943,prompt,codex,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
108,efe5bac62cade8aa,prompt,codex,refactor,3b,false,2,adequate,adequate,,adequate,consensus,final
109,d72a31c30f8d9d97,prompt,codex,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
110,69043c6b9e260e47,prompt,codex,tag,3b,true,1,adequate,adequate,,adequate,consensus,final
111,f2f68eb1f1675fee,prompt,codex-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
112,617fded64d170d39,prompt,codex,prfix,3b,true,1,adequate,adequate,,adequate,consensus,final
113,3c1dc84a80a7d61f,prompt,codex,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
114,66ba3f02a5efe792,prompt,claude,test,3b,true,1,adequate,adequate,,adequate,consensus,final
115,5100288deff9db68,prompt,claude,notify,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
116,f37018d274708cd1,prompt,claude-subagent,bpfinspect,3b,true,1,adequate,adequate,,adequate,consensus,final
117,ef0e638f02cce4bf,prompt,claude,verify,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
118,4aad8efd4c328cad,prompt,codex,test,3b,true,1,adequate,adequate,,adequate,consensus,final
119,0c27e81f6e55be54,prompt,codex,build,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
120,462c73e230fd17bd,prompt,codex,dbsave,3b,true,1,adequate,adequate,,adequate,consensus,final
121,c2ad3134750ad030,prompt,codex,analyze,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
122,344c4b2318381f85,prompt,codex,record,3b,true,1,adequate,adequate,,adequate,consensus,final
123,cfab5d3dba27d0ef,prompt,codex,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
124,474f7fd1b3c1b328,prompt,codex,merge,3b,true,1,adequate,adequate,,adequate,consensus,final
125,ef3295c5818c3cfc,prompt,claude,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
126,501dda515e5d2ff4,prompt,claude,design,3b,true,1,adequate,adequate,,adequate,consensus,final
127,55e395e483b8f70f,prompt,claude,output,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
128,fd6f0d81cffd0d98,prompt,claude-subagent,design,3b,true,1,adequate,adequate,,adequate,consensus,final
129,06ac88eca4f2e5cb,prompt,codex,networking,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
130,a6f8fa71f84bc6f0,prompt,claude-subagent,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
131,5e0bc535d4c6ac32,prompt,claude-subagent,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
132,ef3295c5818c3cfc,prompt,claude,review,3b,true,1,adequate,adequate,,adequate,consensus,final
133,ae7da8bdcd76ccb0,prompt,codex,viewbind,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
134,15afc2df3084a14b,prompt,codex,analyze,3b,true,1,adequate,adequate,,adequate,consensus,final
135,838aacb7218dbba7,prompt,codex-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
136,7f77e0d844e3f994,prompt,claude-subagent,readlines,3b,true,1,adequate,adequate,,adequate,consensus,final
137,ef3295c5818c3cfc,prompt,claude,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
138,79f87343963e6acf,prompt,claude,files,3b,true,1,adequate,adequate,,adequate,consensus,final
139,0a17ce8aedf5b2fd,prompt,codex,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
140,6583bd3f6b65065e,prompt,codex,loaddb,3b,true,1,adequate,adequate,,adequate,consensus,final
141,9207100c14af03dd,prompt,codex,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
142,d78387f3ceda97d2,prompt,codex-subagent,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
143,c23b7a6acf0866a9,prompt,claude,abstract,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
144,8dcbd563899e6596,prompt,claude-subagent,review,3b,true,1,adequate,adequate,,adequate,consensus,final
145,eb2ade6f8a4374b0,prompt,claude,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
146,60a2623cf0b3ae5d,prompt,claude,design,3b,true,1,adequate,adequate,,adequate,consensus,final
147,688ce36ae6c830f5,prompt,claude,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
148,ab16026ac45a6637,prompt,claude,profile,3b,true,1,adequate,adequate,,adequate,consensus,final
149,f023b7ddb402e2ff,prompt,codex,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
150,f31ac9b7be91696c,prompt,codex,analyze,3b,true,1,adequate,adequate,,adequate,consensus,final
151,6413b9bad851559e,prompt,codex,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
152,7f645a4d9ac6007f,prompt,codex,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
153,8a6129a9230353f5,prompt,codex,import,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
154,e894e4bba6d41e0c,prompt,codex,review,3b,true,1,adequate,adequate,,adequate,consensus,final
155,947fe9d25a4679f3,prompt,claude-subagent,test,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
156,ef6dad47444f8011,prompt,claude-subagent,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
157,4ac544906ce67f8a,prompt,codex,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
158,f69c3a25cad9aaff,prompt,codex,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
159,0c55adf36051c8e7,prompt,codex,refactor,3b,false,2,generic_noisy,generic_noisy,,generic_noisy,consensus,final
160,7ac3f4489dffbf39,prompt,claude-subagent,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
161,358bc1af79a76bdc,prompt,claude-subagent,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
162,0601e2afc2261e3d,prompt,claude,resolve,3b,true,1,adequate,adequate,,adequate,consensus,final
163,effad2fcfba87019,prompt,claude,output,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
164,97d24157a7603a28,prompt,codex,topload,3b,true,1,adequate,adequate,,adequate,consensus,final
165,0bf44127d738b92b,prompt,codex,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
166,9e22aa3e73f3b652,prompt,codex,tokencount,3b,true,1,adequate,adequate,,adequate,consensus,final
167,7d21822afe3ca26d,prompt,codex,autofsufu,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
168,d67f29d77de00480,prompt,codex,review,3b,true,1,adequate,adequate,,adequate,consensus,final
169,e4b7fdb2e3c007f3,prompt,codex,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
170,786bf097d4ac0e4e,prompt,codex,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
171,d71623da671e5574,prompt,codex,api,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
172,ba14aafee082a61e,prompt,codex,fixci,3b,false,2,adequate,adequate,,adequate,consensus,final
173,d9c03d158c8da98f,prompt,codex,compare,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
174,c0b0109d9439de57,prompt,codex,refactor,3b,false,2,adequate,adequate,,adequate,consensus,final
175,932f5ab0116bc37b,prompt,codex,commitpush,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
176,5c857c904c2aeaaa,prompt,codex,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
177,75b36ef0e812dc2c,prompt,codex,inspect,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
178,6f020d179880aa58,prompt,codex,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
179,3e1c02583a85fa06,prompt,codex,design,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
180,c7a45e3adce0c2b8,prompt,codex,chat,3b,true,1,adequate,adequate,,adequate,consensus,final
181,fb70739c13c60294,prompt,codex-subagent,docs,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
182,29a2bb43a3f1ec1c,prompt,codex,design,3b,true,1,adequate,adequate,,adequate,consensus,final
183,052d8f59e013c950,prompt,codex,audit,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
184,9258d1a05ec49a0d,prompt,codex,blogwrite,3b,false,2,adequate,adequate,,adequate,consensus,final
185,547a637bc09fa860,prompt,codex,trace,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
186,8f41329c5898f776,prompt,codex,tokenadapt,3b,true,1,adequate,adequate,,adequate,consensus,final
187,9332483ab5a554d3,prompt,codex,trace,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
188,a237d8b6f68ec558,prompt,codex,trace,3b,true,1,adequate,adequate,,adequate,consensus,final
189,084afc21119cff2f,prompt,codex,tracefix,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
190,0e1461595be882d7,prompt,codex,evaluate,3b,true,1,adequate,adequate,,adequate,consensus,final
191,30363b1b75678942,prompt,codex,docs,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
192,a6491d27662b7f88,prompt,codex,review,3b,true,1,adequate,adequate,,adequate,consensus,final
193,41a6c340cd82050c,prompt,codex,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
194,b97a0800b00e887c,prompt,codex,test,3b,true,1,adequate,adequate,,adequate,consensus,final
195,5be8f608484028f7,prompt,claude,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
196,5698ad5ac18bdfd5,prompt,claude,serveevents,3b,true,1,adequate,adequate,,adequate,consensus,final
197,628d6f08b1f89fc4,prompt,claude,improveui,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
198,3c52632efc1db8ca,prompt,claude,trace,3b,true,1,adequate,adequate,,adequate,consensus,final
199,3b186e6fa60a33a2,prompt,codex,test,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
200,cf313085c32e6b5e,llm,codex-subagent,review,3b,true,1,adequate,adequate,,adequate,consensus,final
201,da82ac8523833a91,llm,codex,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
202,d5310b1d3dc0129a,llm,codex,design,3b,true,1,adequate,adequate,,adequate,consensus,final
203,ba479a1e3a855711,llm,codex,diff,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
204,23a35390950e67b0,llm,codex,build,3b,false,2,adequate,adequate,,adequate,consensus,final
205,c2ed33cbb9bf91b3,llm,codex,verify,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
206,974f127f6209dbdb,llm,codex,call,3b,true,1,adequate,adequate,,adequate,consensus,final
207,8d57af62ed843512,llm,codex,test,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
208,416cd57f967522b6,llm,codex,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
209,ceb0e474295625fa,llm,codex,update,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
210,b7897af1149b37e0,llm,codex,review,3b,true,1,adequate,adequate,,adequate,consensus,final
211,503f96f1e0c6cd1f,llm,codex,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
212,2ce612468e14a9d4,llm,codex,review,3b,true,1,adequate,adequate,,adequate,consensus,final
213,83ab9c04916d964d,llm,codex,stage,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
214,7bcf7f953453dc6b,llm,codex,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
215,a057f6a27a26eac1,llm,codex,debug,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
216,26c5b1a57e72ac3b,llm,codex,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
217,f38c66ef7fd4c972,llm,codex,test,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
218,4fa41f6992370f20,llm,claude,review,3b,true,1,adequate,adequate,,adequate,consensus,final
219,e29773d875d46e2a,llm,claude-subagent,test,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
220,4fa41f6992370f20,llm,claude-subagent,review,3b,true,1,adequate,adequate,,adequate,consensus,final
221,4fa41f6992370f20,llm,claude-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
222,5769112dbe611178,llm,codex,traceread,3b,true,1,adequate,adequate,,adequate,consensus,final
223,af36bbf13f3f5d1d,llm,codex,test,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
224,5840a0a4adab501f,llm,codex,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
225,b474f4a5a1cbe8f0,llm,codex,snapshot,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
226,4fa41f6992370f20,llm,claude,review,3b,true,1,adequate,adequate,,adequate,consensus,final
227,dc4390ac0fdde1a3,llm,claude,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
228,19c8783d38e19aaf,llm,claude,build,3b,true,1,adequate,adequate,,adequate,consensus,final
229,4fa41f6992370f20,llm,claude,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
230,4fa41f6992370f20,llm,claude,review,3b,true,1,adequate,adequate,,adequate,consensus,final
231,4fa41f6992370f20,llm,claude,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
232,42cd551c783abe42,llm,claude,checkcontent,3b,true,1,adequate,adequate,,adequate,consensus,final
233,4fa41f6992370f20,llm,claude,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
234,28b6a483259fe38c,llm,claude,viewevents,3b,true,1,adequate,adequate,,adequate,consensus,final
235,4fa41f6992370f20,llm,claude-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
236,e0397408c94a0909,llm,codex,network,3b,true,1,adequate,adequate,,adequate,consensus,final
237,3db8a0521132254c,llm,claude-subagent,report,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
238,4fa41f6992370f20,llm,claude,review,3b,true,1,adequate,adequate,,adequate,consensus,final
239,4fa41f6992370f20,llm,claude-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
240,4fa41f6992370f20,llm,claude-subagent,review,3b,true,1,adequate,adequate,,adequate,consensus,final
241,d5e74626e9bcdfc3,llm,claude-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
242,68bc164aa7cdd16d,llm,claude-subagent,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
243,acc5ef39b1024653,llm,claude,test,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
244,4fa41f6992370f20,llm,claude,review,3b,true,1,adequate,adequate,,adequate,consensus,final
245,4fa41f6992370f20,llm,claude-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
246,4fa41f6992370f20,llm,claude-subagent,review,3b,true,1,adequate,adequate,,adequate,consensus,final
247,10048cc0adbf9b25,llm,codex,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
248,05ef420c31115dca,llm,codex,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
249,aa8cf03d00503af9,llm,claude-subagent,searchunused,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
250,2524f9559667f21d,llm,claude-subagent,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
251,4fa41f6992370f20,llm,claude,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
