task,dataset,query_family,objective,metric,direction,default_policy,best_policy,best_policy_class,best_view,best_ranker,best_value,default_value,gain_over_default,default_is_best,best_is_visible_non_oracle,action_class,changes_view,changes_ranker,mechanism_labels,mechanism_count,optimization_action,counterpoints,actionable
agentreward_looping,agent-reward-bench,failure-looping,budget30_recall,budget30_recall,higher,operation_stack:query_aware,operation_stack:query_aware,default_operation_stack,operation_stack,query_aware,0.3988,0.3988,0.0,True,True,keep_default_operation_stack,False,False,query_aware_ranker; mapping_helps; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,6,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1,True
agentreward_looping,agent-reward-bench,failure-looping,first_positive_work,work_to_first_positive,lower,operation_stack:query_aware,raw_action_stack:visible_risk,raw_action_stack_counterpoint,raw_action_stack,visible_risk,0.0014,0.2058,0.2044,False,True,use_raw_action_mapping_counterpoint,True,False,query_aware_ranker; mapping_helps; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,6,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1,True
agentreward_looping,agent-reward-bench,failure-looping,groups_to_50pct,groups_to_50pct_recall,lower,operation_stack:query_aware,raw_action_stack:width,raw_action_stack_counterpoint,raw_action_stack,width,1.0,3.0,2.0,False,True,use_raw_action_mapping_counterpoint,True,False,query_aware_ranker; mapping_helps; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,6,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1,True
agentreward_looping,agent-reward-bench,failure-looping,total_group_fragmentation,groups,lower,operation_stack:query_aware,flat:width,flat_summary_counterpoint,flat,width,1.0,40.0,39.0,False,True,use_flat_full_recall_counterpoint,True,False,query_aware_ranker; mapping_helps; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,6,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1,True
agentreward_side_effect,agent-reward-bench,failure-side-effect,ranking_fidelity_ap,average_precision,higher,operation_stack:query_aware,fixed_session:width,fixed_session_drilldown,fixed_session,width,1.0,0.3979,0.6021,False,True,drill_down_fixed_session,True,False,query_aware_ranker; mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,6,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentreward_side_effect,agent-reward-bench,failure-side-effect,top5_localization_f1,top5_f1,higher,operation_stack:query_aware,fixed_session:width,fixed_session_drilldown,fixed_session,width,0.8129,0.1494,0.6635,False,True,drill_down_fixed_session,True,False,query_aware_ranker; mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,6,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentreward_side_effect,agent-reward-bench,failure-side-effect,budget30_recall,budget30_recall,higher,operation_stack:query_aware,fixed_session:width,fixed_session_drilldown,fixed_session,width,1.0,0.3812,0.6188,False,True,drill_down_fixed_session,True,False,query_aware_ranker; mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,6,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentreward_side_effect,agent-reward-bench,failure-side-effect,first_positive_work,work_to_first_positive,lower,operation_stack:query_aware,operation_stack:query_aware,default_operation_stack,operation_stack,query_aware,0.0645,0.0645,0.0,True,True,keep_default_operation_stack,False,False,query_aware_ranker; mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,6,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentreward_side_effect,agent-reward-bench,failure-side-effect,groups_to_50pct,groups_to_50pct_recall,lower,operation_stack:query_aware,fixed_session:width,fixed_session_drilldown,fixed_session,width,1.0,17.0,16.0,False,True,drill_down_fixed_session,True,False,query_aware_ranker; mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,6,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentreward_side_effect,agent-reward-bench,failure-side-effect,total_group_fragmentation,groups,lower,operation_stack:query_aware,flat:width,flat_summary_counterpoint,flat,width,1.0,40.0,39.0,False,True,use_flat_full_recall_counterpoint,True,False,query_aware_ranker; mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,6,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
osworld_group_start,osworld-human,human-boundary,ranking_fidelity_ap,average_precision,higher,operation_stack:query_aware,fixed_session:query_aware,fixed_session_drilldown,fixed_session,query_aware,0.2345,0.2254,0.0091,False,True,drill_down_fixed_session,True,False,misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,5,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1,True
osworld_group_start,osworld-human,human-boundary,top5_localization_f1,top5_f1,higher,operation_stack:query_aware,flat:width,flat_summary_counterpoint,flat,width,0.32,0.2469,0.0731,False,True,use_flat_full_recall_counterpoint,True,False,misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,5,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1,True
osworld_group_start,osworld-human,human-boundary,budget30_recall,budget30_recall,higher,operation_stack:query_aware,operation_stack:width,operation_stack_width_counterpoint,operation_stack,width,0.4241,0.2971,0.127,False,True,retune_operation_stack_ranker,False,True,misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,5,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1,True
osworld_group_start,osworld-human,human-boundary,first_positive_work,work_to_first_positive,lower,operation_stack:query_aware,fixed_session:visible_risk,fixed_session_drilldown,fixed_session,visible_risk,0.004,0.1311,0.1271,False,True,drill_down_fixed_session,True,False,misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,5,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1,True
osworld_group_start,osworld-human,human-boundary,groups_to_50pct,groups_to_50pct_recall,lower,operation_stack:query_aware,dataset_native:visible_risk,dataset_native_hierarchy,dataset_native,visible_risk,1.0,62.0,61.0,False,True,use_dataset_native_hierarchy,True,False,misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,5,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1,True
osworld_group_start,osworld-human,human-boundary,total_group_fragmentation,groups,lower,operation_stack:query_aware,flat:width,flat_summary_counterpoint,flat,width,1.0,173.0,172.0,False,True,use_flat_full_recall_counterpoint,True,False,misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,5,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1,True
satraj_unsafe,satraj-os-safety,safety,ranking_fidelity_ap,average_precision,higher,operation_stack:query_aware,dataset_native:query_aware,dataset_native_hierarchy,dataset_native,query_aware,0.7598,0.4875,0.2723,False,True,use_dataset_native_hierarchy,True,False,query_aware_ranker; mapping_helps; critical_rank_features; misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,7,Use environment + phase + action stack fields; prioritize risky environments and write actions.,fixed_session_lower_work_to_first_positive; misleading_visible_feature,True
satraj_unsafe,satraj-os-safety,safety,top5_localization_f1,top5_f1,higher,operation_stack:query_aware,operation_stack:query_aware,default_operation_stack,operation_stack,query_aware,0.4065,0.4065,0.0,True,True,keep_default_operation_stack,False,False,query_aware_ranker; mapping_helps; critical_rank_features; misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,7,Use environment + phase + action stack fields; prioritize risky environments and write actions.,fixed_session_lower_work_to_first_positive; misleading_visible_feature,True
satraj_unsafe,satraj-os-safety,safety,budget30_recall,budget30_recall,higher,operation_stack:query_aware,dataset_native:query_aware,dataset_native_hierarchy,dataset_native,query_aware,1.0,0.8376,0.1624,False,True,use_dataset_native_hierarchy,True,False,query_aware_ranker; mapping_helps; critical_rank_features; misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,7,Use environment + phase + action stack fields; prioritize risky environments and write actions.,fixed_session_lower_work_to_first_positive; misleading_visible_feature,True
satraj_unsafe,satraj-os-safety,safety,first_positive_work,work_to_first_positive,lower,operation_stack:query_aware,fixed_session:query_aware,fixed_session_drilldown,fixed_session,query_aware,0.0037,0.0112,0.0075,False,True,drill_down_fixed_session,True,False,query_aware_ranker; mapping_helps; critical_rank_features; misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,7,Use environment + phase + action stack fields; prioritize risky environments and write actions.,fixed_session_lower_work_to_first_positive; misleading_visible_feature,True
satraj_unsafe,satraj-os-safety,safety,groups_to_50pct,groups_to_50pct_recall,lower,operation_stack:query_aware,dataset_native:query_aware,dataset_native_hierarchy,dataset_native,query_aware,1.0,38.0,37.0,False,True,use_dataset_native_hierarchy,True,False,query_aware_ranker; mapping_helps; critical_rank_features; misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,7,Use environment + phase + action stack fields; prioritize risky environments and write actions.,fixed_session_lower_work_to_first_positive; misleading_visible_feature,True
satraj_unsafe,satraj-os-safety,safety,total_group_fragmentation,groups,lower,operation_stack:query_aware,flat:width,flat_summary_counterpoint,flat,width,1.0,142.0,141.0,False,True,use_flat_full_recall_counterpoint,True,False,query_aware_ranker; mapping_helps; critical_rank_features; misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,7,Use environment + phase + action stack fields; prioritize risky environments and write actions.,fixed_session_lower_work_to_first_positive; misleading_visible_feature,True
