dimension,raw_tag,canonical_tag,suggested_tag,r189_action,r189_reason,r189_confidence,r189_profile_similarity,governance_action,governance_reasons,requires_review,is_long_tail,is_generic_or_noisy,is_multimodal,tail_threshold,row_count,effect_weight,event_count,token_weight,support,top_processes,top_effects,top_paths,top_context_tags,top_models,top_kinds,regeneration_context_hash,regenerated_tag,regenerated_valid,regeneration_error,review_label,review_notes
llm,restart,start,start,merge,lexical+profile,0.754,0.518,auto_canonicalize_existing,r189_lexical+profile,True,False,False,False,10,0,0,25,49716,25,,,,test=48119; analyze=436; network=109; cleanup=93; refactor=52; research=47,claude-opus-4-7=48119; codex=823,cache=47398; estimate=799; output=446; input=274,84b4380580a8896c,,,,,
llm,diffcheck,check,check,merge,lexical+profile,0.871,0.852,auto_canonicalize_existing,r189_lexical+profile,True,False,True,False,10,0,0,23,121814,23,,,,refactor=120748; design=97; analyze=83; research=66; review=64; test=40,claude-opus-4-6=120439; codex=710,cache=120436; estimate=688; input=1; output=1,e359092391883d96,,,,,
llm,docspage,docs,docs,merge,lexical+profile,0.852,0.798,auto_canonicalize_existing,r189_lexical+profile,True,False,True,False,10,0,0,20,226638592,20,,,,docs=113266960; test=112563154; docsupdate=547282; review=261216,codex=226638612,input=114784049; cache=111220864; output=633679,e20c4df0f6926749,,,,,
prompt,docrefactor,refactor,refactor,merge,lexical+profile,0.868,0.842,auto_canonicalize_existing,r189_lexical+profile,True,True,False,True,100,1,19,0,0,19,find=3; rg=3; tool/tool=3; ls=2; python3=2; sed=2,read=13; process=6,micro=6; none=6; docs/micro-bench-status.md=4; result.json=1; analysis=1; tmp=1,refactor=20,,,ade0f4adfd87f3e4,,,,,
prompt,preview,review,review,merge,lexical+profile,0.828,0.73,auto_canonicalize_existing,r189_lexical+profile,True,True,True,True,100,1,18,0,0,18,sed=4; cat=2; ls=2; rg=2; tmux=2; tool/tool=2,read=11; process=7,none=7; frontend/src=3; frontend/next.config.js=1; frontend/package.json=1; collector/vendor=1; frontend/out=1,review=19,,,e42d12c091759253,,,,,
prompt,testrun,test,test,merge,lexical+profile,0.8,0.678,auto_canonicalize_existing,r189_lexical+profile,True,True,True,True,100,2,15,0,0,15,sed=4; tool/tool=4; set=3; bpfopt-loader=1; cat=1; find=1,process=8; read=7,none=7; bpfopt=4; runner=2; module=2,research=16; docs=1,,,28626a4278a2c30f,,,,,
llm,loganalyze,analyze,analyze,merge,lexical+profile,0.918,0.986,auto_canonicalize_existing,r189_lexical+profile,True,False,True,False,10,0,0,14,1096,14,,,,analyze=525; refactor=37,codex=562,estimate=548,340ae53cb1578a2e,,,,,
prompt,testlog,test,test,merge,lexical+profile,0.733,0.486,auto_canonicalize_existing,r189_lexical+profile,True,True,True,True,100,1,13,0,0,13,agentsight=4; git=3; lsof=3; cargo=1; ls=1; tool/tool=1,process=8; read=4; test=1,none=6; collector/target=5; collector/cargo.toml=1; origin=1,test=14,,,a2bba57fadb38d7f,,,,,
llm,syncdocs,docs,docs,merge,lexical+profile,0.769,0.56,auto_canonicalize_existing,r189_lexical+profile,True,False,True,True,10,0,0,12,844,12,,,,review=141; analyze=76; design=63; research=45; docs=43; linksetup=42,codex=434,estimate=422,6bf9047c85a08b69,,,,,
llm,testcodexcod,test,test,merge,lexical+profile,0.905,0.948,auto_canonicalize_existing,r189_lexical+profile,True,False,True,True,10,0,0,12,5548,12,,,,refactor=1234; review=592; test=375; trace=275; research=115; network=83,codex=2786,estimate=2774,1e74da9dfa81bfdc,,,,,
prompt,mdrefactor,refactor,refactor,merge,lexical+profile,0.801,0.652,auto_canonicalize_existing,r189_lexical+profile,True,True,False,True,100,1,12,0,0,12,python3=5; rg=3; ls=2; sed=2,read=7; process=5,docs/micro-bench-status.md=5; k=3; docs/figures=2; none=2,refactor=13,,,c8ff2dc977107871,,,,,
prompt,refactordocs,refactor,refactor,merge,lexical+profile,0.798,0.644,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,100,5,12,0,0,12,rg=8; sed=4,read=12,docs/visexp=12,refactor=17,,,6b8418d7e623081d,,,,,
llm,selftest,test,test,merge,lexical+profile,0.804,0.659,auto_canonicalize_existing,r189_lexical+profile,True,False,True,False,10,0,0,10,1026,10,,,,refactor=451; research=72,codex=523,estimate=513,e5d666b2cb05c8df,,,,,
prompt,mergeprompt,merge,merge,merge,lexical+profile,0.792,0.736,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,100,1,10,0,0,10,sed=6; git=3; python3=1,read=9; process=1,collector/src=9; none=1,review=11,,,e8bbbe24a1791b52,,,,,
prompt,refactorperf,refactor,refactor,merge,lexical+profile,0.806,0.665,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,100,1,9,0,0,9,tool/tool=8; samples_1=1,process=9,none=9,refactor=10,,,eb78b9feeebb52f8,,,,,
llm,preview,review,review,merge,lexical+profile,0.823,0.714,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,8,27956,8,,,,review=27279; design=120; refactor=68; trace=56; test=38; log=33,claude-opus-4-6=27279; codex=346,cache=27273; estimate=339; output=4; input=1,5ab1ae160e7c40fb,,,,,
prompt,mergeconflic,merge,merge,merge,lexical+profile,0.741,0.589,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,100,1,8,0,0,8,git=8,read=6; repo=2,collector/vendor=4; none=4,mergeconflic=9,,,d7d1d9f339d095bf,,,,,
llm,uximprove,improve,improve,merge,lexical+profile,0.834,0.746,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,7,690,7,,,,improve=181; clarify=164; uximprove=7,codex=352,estimate=345,e08431c9ec716805,,,,,
llm,testrun,test,test,merge,lexical+profile,0.742,0.483,auto_canonicalize_existing,r189_lexical+profile,True,True,True,True,10,0,0,6,630,6,,,,trace=79; research=75; validate=68; test=57; benchmark=42,codex=321,estimate=315,e03433f9b51dda67,,,,,
prompt,testdesign,design,design,merge,lexical+profile,0.754,0.528,auto_canonicalize_existing,r189_lexical+profile,True,True,True,True,100,5,6,0,0,6,git=2; rg=2; sed=2,read=6,docs/design=6,design=11,,,5fda40ee5097b1f0,,,,,
llm,docsdesign,design,design,merge,lexical+profile,0.762,0.541,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,5,1612,5,,,,marketdoc=389; userscenariq=322; visdesign=56; docs=44,codex=811,estimate=806,97a3608effd3dc23,,,,,
llm,statsoff,stats,stats,merge,lexical+profile,0.752,0.512,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,5,504,5,,,,refactor=213; test=44,codex=257,estimate=252,4e7d24500bd3610d,,,,,
llm,fixdocs,docs,docs,merge,lexical+profile,0.781,0.593,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,4,248,4,,,,docsupdate=81; research=47,codex=128,estimate=124,c60812c530a21746,,,,,
llm,checkimports,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,3,158111,3,,,,refactor=158114,claude-haiku-4-5-20251001=158114,cache=158101; input=5; output=5,8c566c43dfa10e3e,,,,,
llm,checkstruct,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,3,74301,3,,,,refactor=74231; trace=37,claude-haiku-4-5-20251001=74231; codex=37,cache=74214; estimate=36; output=9; input=6,f053e47ac60e7706,,,,,
llm,gitcheck,check,check,merge,lexical+profile,0.737,0.469,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,3,212,3,,,,refactor=50; testignore=37; summary=22,codex=109,estimate=106,e8034f7f5afa6550,,,,,
llm,logparse,parse,parse,merge,lexical+profile,0.73,0.449,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,3,69555,3,,,,design=69414; benchmark=40; refactor=33,claude-opus-4-6=69414; codex=73,cache=69409; estimate=71; output=3; input=1,08a5c5abc4d83657,,,,,
llm,mergecheck,merge,merge,merge,lexical+profile,0.753,0.515,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,3,202,3,,,,merge=67; trace=37,codex=104,estimate=101,9515a8f5dfddd87a,,,,,
llm,parselog,parse,parse,merge,lexical+profile,0.727,0.44,auto_canonicalize_existing,r189_lexical+profile,True,True,False,True,10,0,0,3,254,3,,,,review=58; refactor=46; test=26,codex=130,estimate=127,a54eec919263da33,,,,,
llm,prreview,review,review,merge,lexical+profile,0.841,0.765,auto_canonicalize_existing,r189_lexical+profile,True,True,True,True,10,0,0,3,270,3,,,,review=47; refactor=46; test=45,codex=138,estimate=135,ce0ddb6df19ba24d,,,,,
llm,readfiles,read,read,merge,lexical+profile,0.811,0.681,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,3,66867,3,,,,refactor=47528; cli=10385; docs=8957,claude-haiku-4-5-20251001=66870,cache=66844; input=17; output=6,93dca3b37ec67a9d,,,,,
llm,stresstest,test,test,merge,lexical+profile,0.79,0.621,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,3,318,3,,,,docs=162,codex=162,estimate=159,da7d82f55274ccf9,,,,,
llm,viewread,read,read,merge,lexical+profile,0.81,0.676,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,3,93828,3,,,,refactor=93831,claude-haiku-4-5-20251001=93831,cache=91725; input=2099; output=4,d685e856902be082,,,,,
llm,auditevents,audit,audit,merge,lexical+profile,0.734,0.461,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,2,274,2,,,,trace=73; refactor=66,codex=139,estimate=137,7d562d4ec0da017d,,,,,
llm,auditreview,review,review,merge,lexical+profile,0.85,0.792,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,2,128,2,,,,refactor=40; review=26,codex=66,estimate=64,3846118232936714,,,,,
llm,checksetup,setup,setup,merge,lexical+profile,0.853,0.8,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,2,61725,2,,,,review=61606; refactor=61,claude-haiku-4-5-20251001=61606; codex=61,cache=61596; estimate=60; output=5; input=4,af1013492e0381a3,,,,,
llm,dfanalyze,analyze,analyze,merge,lexical+profile,0.91,0.962,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,2,244,2,,,,analyze=85; cleanup=39,codex=124,estimate=122,03d146a623a8e783,,,,,
llm,difffix,fix,fix,merge,lexical+profile,0.796,0.637,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,2,112,2,,,,review=58,codex=58,estimate=56,de77e73b31546351,,,,,
llm,diffreview,review,review,merge,lexical+profile,0.865,0.835,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,2,78,2,,,,review=34; refactor=7,codex=41,estimate=39,00ab2d596f51b071,,,,,
llm,doccheck,check,check,merge,lexical+profile,0.751,0.51,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,2,41444,2,,,,docs=41353; review=47,claude-opus-4-6=41353; codex=47,cache=41226; output=125; estimate=46; input=1,89d1bb8769b3bf47,,,,,
llm,evaluatemark,evaluate,evaluate,merge,lexical+profile,0.828,0.729,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,2,168,2,,,,review=45; rqimprove=41,codex=86,estimate=84,0569f421fced070d,,,,,
llm,fixfmt,fix,fix,merge,lexical+profile,0.74,0.476,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,2,122,2,,,,review=46; refactor=17,codex=63,estimate=61,0d13243637c9d9cc,,,,,
llm,fmttest,test,test,merge,lexical+profile,0.804,0.661,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,2,170,2,,,,refactor=87,codex=87,estimate=85,0a4d50e060073696,,,,,
llm,grepcheck,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,2,26567,2,,,,refactor=26532; diagram=19,claude-haiku-4-5-20251001=26532; codex=19,cache=26428; output=98; estimate=18; input=5,2306f251d1d9469f,,,,,
llm,parsejson,parse,parse,merge,lexical+profile,0.748,0.499,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,2,174,2,,,,review=60; test=29,codex=89,estimate=87,ebfe66d155d3c955,,,,,
llm,reviewchk,review,review,merge,lexical+profile,0.768,0.557,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,2,4764,2,,,,review=2384,codex=2384,estimate=2382,378a94782dae06c7,,,,,
llm,staticcheck,check,check,merge,lexical+profile,0.729,0.446,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,2,224,2,,,,refactor=68; design=46,codex=114,estimate=112,b1f442adeccf1927,,,,,
llm,statscheck,stat,stat,merge,lexical+profile,0.76,0.535,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,2,168,2,,,,refactor=44; review=42,codex=86,estimate=84,bda7d31ceb922a58,,,,,
llm,statson,stats,stats,merge,lexical+profile,0.755,0.519,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,2,190,2,,,,refactor=97,codex=97,estimate=95,08a28a10657e00a8,,,,,
llm,testbin,test,test,merge,lexical+profile,0.804,0.661,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,2,1042,2,,,,refactor=523,codex=523,estimate=521,dff287bc9d882417,,,,,
llm,updatebudget,update,update,merge,lexical+profile,0.871,0.85,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,2,158,2,,,,review=81,codex=81,estimate=79,7cc15a364f8570c2,,,,,
llm,analyzedocs,analyze,analyze,merge,lexical+profile,0.922,0.998,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,56,1,,,,analyze=29,codex=29,estimate=28,30daa6e3cfa18a9b,,,,,
llm,analyzelog,analyze,analyze,merge,lexical+profile,0.922,0.998,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,58,1,,,,analyze=30,codex=30,estimate=29,e8ab3e5f2787b571,,,,,
llm,apiresource,api,api,merge,lexical+profile,0.76,0.533,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,60,1,,,,refactor=31,codex=31,estimate=30,85b000ed02f9e6f0,,,,,
llm,applyupdate,update,update,merge,lexical+profile,0.75,0.506,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,82996,1,,,,review=82997,claude-opus-4-6=82997,cache=82365; output=630; input=1,2e329eca7d56e0ce,,,,,
llm,auditcheck,check,check,merge,lexical+profile,0.876,0.865,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,101257,1,,,,refactor=101258,claude-opus-4-6=101258,cache=100519; output=737; input=1,771fe14e0b7fc43a,,,,,
llm,auditfix,fix,fix,merge,lexical+profile,0.796,0.637,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,158,1,,,,review=80,codex=80,estimate=79,83a7e47cc80fbd3e,,,,,
llm,builddoc,build,build,merge,lexical+profile,0.777,0.583,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,52,1,,,,docs=27,codex=27,estimate=26,98f8fcdb18b2631e,,,,,
llm,checkbounds,check,check,merge,lexical+profile,0.761,0.538,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,44,1,,,,refactor=23,codex=23,estimate=22,fb607ace66fc56aa,,,,,
llm,checkci,check,check,merge,lexical+profile,0.876,0.865,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,111046,1,,,,refactor=111047,claude-opus-4-6=111047,cache=110934; output=111; input=1,83e6c6c0b7ff6925,,,,,
llm,checkcode,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,58484,1,,,,refactor=58485,claude-haiku-4-5-20251001=58485,cache=58483; output=1,98862e97b5644549,,,,,
llm,checkdeps,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,53837,1,,,,refactor=53838,claude-haiku-4-5-20251001=53838,cache=53836; output=1,40ab60984768414c,,,,,
llm,checkdir,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,32528,1,,,,refactor=32529,claude-haiku-4-5-20251001=32529,cache=32526; input=1; output=1,d26e84330ac0fe98,,,,,
llm,checkdump,check,check,merge,lexical+profile,0.761,0.538,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,118,1,,,,refactor=60,codex=60,estimate=59,fe1a74111b4fb1c2,,,,,
llm,checkexport,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,50646,1,,,,refactor=50647,claude-haiku-4-5-20251001=50647,cache=50645; output=1,3e08c938cfdbe874,,,,,
llm,checkexports,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,74732,1,,,,refactor=74733,claude-haiku-4-5-20251001=74733,cache=74731; output=1,ca38efa3cc91564a,,,,,
llm,checkfields,check,check,merge,lexical+profile,0.871,0.851,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,140393,1,,,,refactor=140394,claude-opus-4-6=140394,cache=140224; output=168; input=1,9694bea9c93159be,,,,,
llm,checkflow,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,32465,1,,,,refactor=32466,claude-haiku-4-5-20251001=32466,cache=32457; input=7; output=1,eaa0ae10fa02d677,,,,,
llm,checkhtml,check,check,merge,lexical+profile,0.761,0.538,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,68,1,,,,refactor=35,codex=35,estimate=34,f8dbbe3b47779abf,,,,,
llm,checkin,check,check,merge,lexical+profile,0.761,0.538,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,44,1,,,,refactor=23,codex=23,estimate=22,356ad1df09013f79,,,,,
llm,checkjson,check,check,merge,lexical+profile,0.761,0.538,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,82,1,,,,refactor=42,codex=42,estimate=41,e5294c90b7d7ddae,,,,,
llm,checkmake,check,check,merge,lexical+profile,0.761,0.538,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,136,1,,,,refactor=69,codex=69,estimate=68,2a3d3141131df66d,,,,,
llm,checkmatch,check,check,merge,lexical+profile,0.761,0.538,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,62,1,,,,refactor=32,codex=32,estimate=31,9c17d59d26519dbb,,,,,
llm,checkources,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,46272,1,,,,refactor=46273,claude-haiku-4-5-20251001=46273,cache=46267; output=5,637e4fc404ff9a6e,,,,,
llm,checkown,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,58352,1,,,,refactor=58353,claude-haiku-4-5-20251001=58353,cache=58351; output=1,795649ceef53ad98,,,,,
llm,checkproc,check,check,merge,lexical+profile,0.761,0.538,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,80,1,,,,refactor=41,codex=41,estimate=40,66101aeb0729ebb1,,,,,
llm,checkpub,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,63662,1,,,,refactor=63663,claude-haiku-4-5-20251001=63663,cache=63657; output=5,abacd5132921eceb,,,,,
llm,checkrs,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,42355,1,,,,refactor=42356,claude-haiku-4-5-20251001=42356,cache=42350; output=5,163ab1c10d2bd2b8,,,,,
