dimension,raw_tag,canonical_tag,governance_action,governance_reasons,support,top_processes,top_effects,top_context_tags,regeneration_context_hash,regenerated_tag,regenerated_valid,regeneration_error
llm,prompt,prompt,regenerate_candidate,generic_or_noisy_tag;long_tail,5,,,design=28; validate=28; review=24; test=18; network=7,7512bb7213ad297f,estimate,True,
llm,refsccodex,refsccodex,regenerate_candidate,generic_or_noisy_tag;long_tail,5,,,rootpidrefs=580,9b7cee0c64120ccf,refer,True,
llm,checker,checker,regenerate_candidate,generic_or_noisy_tag;long_tail,4,,,design=111; analyze=48; research=37,b4b6a5465313fb79,analyze,True,
llm,syncsync,syncsync,regenerate_candidate,generic_or_noisy_tag;long_tail,4,,,design=44; review=37; designfix=18; refactor=12,9380c86dcf5d06cb,sync,True,
prompt,agentsightr,agentsightr,regenerate_candidate,generic_or_noisy_tag;long_tail,4,printf=4,process=4,agentsight=3; agentsightr=3,4a3146e7cbce2b0f,agentsightr,True,
session,agentsight,agentsight,regenerate_candidate,generic_or_noisy_tag;long_tail,4,printf=4,process=4,agentsight=2; agentsightr=2,5961d15fa71b658b,observe,True,
llm,claude,claude,regenerate_candidate,generic_or_noisy_tag;long_tail,3,,,test=34940; tokencount=51,727fb2c61795607b,answer,True,
llm,healthcheck,healthcheck,regenerate_candidate,generic_or_noisy_tag;long_tail,3,,,design=51; build=41; analyze=25,5bf81692206cfb69,healthcheck,True,
llm,syncdoc,syncdoc,regenerate_candidate,generic_or_noisy_tag;long_tail,3,,,refactor=30; explain=25; checkpoint=22,34e82449498d09a4,syncdoc,True,
prompt,apiupdate,apiupdate,regenerate_candidate,generic_or_noisy_tag;long_tail,3,,,design=3,a0d5b1eec48cd71b,apiupdate,True,
prompt,claude,claude,regenerate_candidate,generic_or_noisy_tag;long_tail,3,find=1; rg=1; sed=1,read=3,review=4,dc2d8ff026238267,review,True,
