participant_id,trial_order,task,view,packet_id,dataset,query_family,problem,response_form
P17,6,osworld_group_start,operation_stack,osworld_group_start::operation_stack,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P18,1,agentreward_looping,fixed_session,agentreward_looping::fixed_session,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P18,2,agentnet_incorrect_step,operation_stack,agentnet_incorrect_step::operation_stack,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P18,3,agentnet_redundant_step,flat,agentnet_redundant_step::flat,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P18,4,satraj_unsafe,fixed_session,satraj_unsafe::fixed_session,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P18,5,osworld_group_start,flat,osworld_group_start::flat,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P18,6,agentreward_side_effect,operation_stack,agentreward_side_effect::operation_stack,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P19,1,osworld_group_start,fixed_session,osworld_group_start::fixed_session,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P19,2,agentreward_looping,operation_stack,agentreward_looping::operation_stack,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P19,3,satraj_unsafe,operation_stack,satraj_unsafe::operation_stack,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P19,4,agentnet_incorrect_step,flat,agentnet_incorrect_step::flat,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P19,5,agentreward_side_effect,flat,agentreward_side_effect::flat,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P19,6,agentnet_redundant_step,fixed_session,agentnet_redundant_step::fixed_session,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P20,1,satraj_unsafe,flat,satraj_unsafe::flat,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P20,2,agentreward_side_effect,fixed_session,agentreward_side_effect::fixed_session,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P20,3,agentreward_looping,flat,agentreward_looping::flat,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P20,4,agentnet_redundant_step,operation_stack,agentnet_redundant_step::operation_stack,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P20,5,osworld_group_start,operation_stack,osworld_group_start::operation_stack,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P20,6,agentnet_incorrect_step,fixed_session,agentnet_incorrect_step::fixed_session,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P21,1,agentreward_looping,fixed_session,agentreward_looping::fixed_session,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P21,2,osworld_group_start,flat,osworld_group_start::flat,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P21,3,satraj_unsafe,fixed_session,satraj_unsafe::fixed_session,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P21,4,agentreward_side_effect,operation_stack,agentreward_side_effect::operation_stack,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P21,5,agentnet_redundant_step,flat,agentnet_redundant_step::flat,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P21,6,agentnet_incorrect_step,operation_stack,agentnet_incorrect_step::operation_stack,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P22,1,agentnet_redundant_step,fixed_session,agentnet_redundant_step::fixed_session,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P22,2,agentreward_side_effect,flat,agentreward_side_effect::flat,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P22,3,agentreward_looping,operation_stack,agentreward_looping::operation_stack,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P22,4,agentnet_incorrect_step,flat,agentnet_incorrect_step::flat,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P22,5,osworld_group_start,fixed_session,osworld_group_start::fixed_session,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P22,6,satraj_unsafe,operation_stack,satraj_unsafe::operation_stack,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P23,1,agentnet_incorrect_step,fixed_session,agentnet_incorrect_step::fixed_session,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P23,2,agentreward_looping,flat,agentreward_looping::flat,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P23,3,satraj_unsafe,flat,satraj_unsafe::flat,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P23,4,agentnet_redundant_step,operation_stack,agentnet_redundant_step::operation_stack,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P23,5,osworld_group_start,operation_stack,osworld_group_start::operation_stack,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P23,6,agentreward_side_effect,fixed_session,agentreward_side_effect::fixed_session,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P24,1,agentnet_incorrect_step,operation_stack,agentnet_incorrect_step::operation_stack,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P24,2,agentnet_redundant_step,flat,agentnet_redundant_step::flat,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P24,3,agentreward_looping,fixed_session,agentreward_looping::fixed_session,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P24,4,agentreward_side_effect,operation_stack,agentreward_side_effect::operation_stack,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P24,5,osworld_group_start,flat,osworld_group_start::flat,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P24,6,satraj_unsafe,fixed_session,satraj_unsafe::fixed_session,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
