dimension,raw_tag,active_display_tag,support,requires_review,is_long_tail,candidate_display_tag,candidate_source,candidate_state,governance_action,governance_reasons,review_reason
prompt,mapresearch,mapresearch,35,True,True,research,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,reviewdocs,reviewdocs,35,True,True,review,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,tokenreport,tokenreport,34,True,False,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,clauderesp,clauderesp,32,True,False,query,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag,pending regenerated-label promotion review
prompt,agentsight,agentsight,28,True,True,review,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
prompt,dataupdate,dataupdate,27,True,True,refactor,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
prompt,perfreview,perfreview,26,True,True,review,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,restart,restart,25,True,False,start,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,syncdir,syncdir,24,True,True,syncdir,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
llm,diffcheck,diffcheck,23,True,False,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,logcheck,logcheck,21,True,False,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,docspage,docspage,20,True,False,docs,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,check,check,20,True,True,analyze,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
prompt,docrefactor,docrefactor,19,True,True,refactor,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,unittest,unittest,19,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
prompt,preview,preview,18,True,True,review,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,testcodexcod,testcodexcod,18,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
prompt,testignore,testignore,18,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
prompt,testrun,testrun,15,True,True,test,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,loganalyze,loganalyze,14,True,False,analyze,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,namecheck,namecheck,13,True,True,validate,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
prompt,testlog,testlog,13,True,True,test,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,syncdocs,syncdocs,12,True,False,docs,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,testcodexcod,testcodexcod,12,True,False,test,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,mdrefactor,mdrefactor,12,True,True,refactor,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,refactordocs,refactordocs,12,True,True,refactor,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,uxdesign,uxdesign,12,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
prompt,perfcheck,perfcheck,11,True,True,review,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
prompt,prompt,prompt,11,True,True,analyze,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
llm,reviewbu,reviewbu,10,True,False,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,run,run,10,True,False,analyze,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag,pending regenerated-label promotion review
llm,selftest,selftest,10,True,False,test,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,staged,staged,10,True,False,analyze,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag,pending regenerated-label promotion review
prompt,mergeprompt,mergeprompt,10,True,True,merge,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,paperagentfl,paperagentfl,10,True,True,readagent,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
session,paperagentfl,paperagentfl,10,True,True,readagent,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
session,rootpidrefsc,rootpidrefsc,10,True,True,read,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
prompt,refactorperf,refactorperf,9,True,True,refactor,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,cleanbuild,cleanbuild,8,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,preview,preview,8,True,True,review,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,process,process,8,True,True,analyze,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
prompt,chartupdate,chartupdate,8,True,True,refactor,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
prompt,mergeconflic,mergeconflic,8,True,True,merge,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,run,run,8,True,True,review,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
session,agentsightsm,agentsightsm,8,True,True,search,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
llm,releasecheck,releasecheck,7,True,True,releasecheck,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
llm,updatedoc,updatedoc,7,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,uximprove,uximprove,7,True,True,improve,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,verifyclaude,verifyclaude,7,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,bpfanalyze,bpfanalyze,6,True,True,analyze,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
llm,formatcheck,formatcheck,6,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,testrun,testrun,6,True,True,test,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,builddocscod,builddocscod,6,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
prompt,designcodexs,designcodexs,6,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
prompt,testdesign,testdesign,6,True,True,design,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,docsdesign,docsdesign,5,True,True,design,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,docsync,docsync,5,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,fmtcheck,fmtcheck,5,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,prompt,prompt,5,True,True,estimate,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
llm,refsccodex,refsccodex,5,True,True,refer,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
llm,statsoff,statsoff,5,True,True,stats,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,synccheck,synccheck,5,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,testfilter,testfilter,5,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,checker,checker,4,True,True,analyze,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
llm,checklist,checklist,4,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,fixdocs,fixdocs,4,True,True,docs,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,proofbuild,proofbuild,4,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,proofcheck,proofcheck,4,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,reviewer,reviewer,4,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,syncsync,syncsync,4,True,True,sync,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
prompt,agentsightr,agentsightr,4,True,True,agentsightr,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
session,agentsight,agentsight,4,True,True,observe,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
llm,checkartefac,checkartefac,3,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,checkdb,checkdb,3,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,checkdisk,checkdisk,3,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,checkimports,checkimports,3,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,checks,checks,3,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,checkstruct,checkstruct,3,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,claude,claude,3,True,True,answer,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
llm,docstrings,docstrings,3,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,gitcheck,gitcheck,3,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,healthcheck,healthcheck,3,True,True,healthcheck,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
llm,logparse,logparse,3,True,True,parse,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,mergecheck,mergecheck,3,True,True,merge,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,parselog,parselog,3,True,True,parse,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,prreview,prreview,3,True,True,review,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,readfiles,readfiles,3,True,True,read,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,stagediff,stagediff,3,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,stresstest,stresstest,3,True,True,test,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,syncdoc,syncdoc,3,True,True,syncdoc,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
llm,viewread,viewread,3,True,True,read,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,apiupdate,apiupdate,3,True,True,apiupdate,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
prompt,claude,claude,3,True,True,review,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
llm,auditevents,auditevents,2,True,True,audit,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,auditreview,auditreview,2,True,True,review,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,buildkit,buildkit,2,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,checkdoc,checkdoc,2,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,checkfiles,checkfiles,2,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,checklogs,checklogs,2,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,checksetup,checksetup,2,True,True,setup,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,checksum,checksum,2,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,checkwarn,checkwarn,2,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,dbcheck,dbcheck,2,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,dfanalyze,dfanalyze,2,True,True,analyze,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,difffix,difffix,2,True,True,fix,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,diffreview,diffreview,2,True,True,review,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,doccheck,doccheck,2,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,docsvisexp,docsvisexp,2,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,evaluatemark,evaluatemark,2,True,True,evaluate,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,fixfmt,fixfmt,2,True,True,fix,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,fmttest,fmttest,2,True,True,test,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,grepcheck,grepcheck,2,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,parsejson,parsejson,2,True,True,parse,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,rebuild,rebuild,2,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,reporting,reporting,2,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,reviewchk,reviewchk,2,True,True,review,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,staticcheck,staticcheck,2,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,statscheck,statscheck,2,True,True,stat,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,statson,statson,2,True,True,stats,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,statuscheck,statuscheck,2,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,testbin,testbin,2,True,True,test,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,testsetup,testsetup,2,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,updatebudget,updatebudget,2,True,True,update,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,viewupdate,viewupdate,2,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,writestry,writestry,2,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
prompt,cleanbuild,cleanbuild,2,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,analyzedocs,analyzedocs,1,True,True,analyze,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,analyzefs,analyzefs,1,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,analyzelog,analyzelog,1,True,True,analyze,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,analyzeverif,analyzeverif,1,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,apiresource,apiresource,1,True,True,api,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,apiupdate,apiupdate,1,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,applyupdate,applyupdate,1,True,True,update,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,auditcheck,auditcheck,1,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,auditfix,auditfix,1,True,True,fix,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,bindcheck,bindcheck,1,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,builddoc,builddoc,1,True,True,build,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,buildsync,buildsync,1,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,buildx,buildx,1,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,bumpcheck,bumpcheck,1,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,cachecheck,cachecheck,1,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,checkbounds,checkbounds,1,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,checkbuild,checkbuild,1,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,checkci,checkci,1,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,checkcode,checkcode,1,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,checkdep,checkdep,1,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,checkdeps,checkdeps,1,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,checkdir,checkdir,1,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,checkdump,checkdump,1,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,checkexport,checkexport,1,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,checkexports,checkexports,1,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,checkfields,checkfields,1,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,checkflow,checkflow,1,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,checkheaders,checkheaders,1,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,checkhtml,checkhtml,1,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,checkin,checkin,1,True,True,check,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
